FileFormat,FileSize,DatasetType,SurveyNum,SurveyId,FileType,FileDateLastModified,SurveyYearLabel,SurveyType,SurveyYear,DHS_CountryCode,FileName,CountryName
Flat ASCII data (.dat),29613,GPS Datasets,32,NG1990DHS,Geographic Data,"April, 21 2017 17:12:43",1990,DHS,1990,NG,NGGE23FL.zip,Nigeria
Flat ASCII data (.dat),2864712,Survey Datasets,32,NG1990DHS,Births Recode,"May, 22 2007 11:25:10",1990,DHS,1990,NG,NGBR21FL.zip,Nigeria
Flat ASCII data (.dat),603800,Survey Datasets,32,NG1990DHS,Household Recode,"December, 07 2004 12:29:27",1990,DHS,1990,NG,NGHR21FL.ZIP,Nigeria
Flat ASCII data (.dat),82466,Survey Datasets,32,NG1990DHS,Height and Weight Scores - WHO Child Growth Standards,"May, 04 2009 11:02:44",1990,DHS,1990,NG,NGHW21FL.ZIP,Nigeria
Flat ASCII data (.dat),3417114,Survey Datasets,32,NG1990DHS,Individual Recode,"December, 10 2004 12:34:36",1990,DHS,1990,NG,NGIR21FL.ZIP,Nigeria
Flat ASCII data (.dat),1439561,Survey Datasets,32,NG1990DHS,Children's Recode,"September, 11 2006 10:38:46",1990,DHS,1990,NG,NGKR21FL.ZIP,Nigeria
Flat ASCII data (.dat),151962,Survey Datasets,32,NG1990DHS,Service Availability Raw,"September, 11 2006 10:38:46",1990,DHS,1990,NG,NGSQ23FL.ZIP,Nigeria
Flat ASCII data (.dat),42905,Survey Datasets,32,NG1990DHS,Wealth Index,"July, 12 2006 10:30:07",1990,DHS,1990,NG,NGWI21FL.ZIP,Nigeria
Flat ASCII data (.dat),767082,GPS Datasets,32,NG1990DHS,Geospatial Covariates,"September, 06 2018 16:09:48",1990,DHS,1990,NG,NGGC22FL.ZIP,Nigeria
Flat ASCII data (.dat),540437,Survey Datasets,32,NG1990DHS,Household Member Recode,"August, 07 2003 15:15:36",1990,DHS,1990,NG,NGPR21FL.ZIP,Nigeria
Flat ASCII data (.dat),1612364,Survey Datasets,223,NG2003DHS,Household Member Recode,"June, 26 2009 13:34:20",2003,DHS,2003,NG,NGPR4CFL.ZIP,Nigeria
Flat ASCII data (.dat),821693,Survey Datasets,223,NG2003DHS,Men's Recode,"December, 27 2006 11:35:50",2003,DHS,2003,NG,NGMR4AFL.ZIP,Nigeria
Flat ASCII data (.dat),865179,GPS Datasets,223,NG2003DHS,Geospatial Covariates,"September, 06 2018 16:09:48",2003,DHS,2003,NG,NGGC4BFL.ZIP,Nigeria
Flat ASCII data (.dat),3018860,Survey Datasets,223,NG2003DHS,Children's Recode,"October, 05 2005 13:06:01",2003,DHS,2003,NG,ngkr4bfl.zip,Nigeria
Flat ASCII data (.dat),4261815,Survey Datasets,223,NG2003DHS,Individual Recode,"December, 27 2006 11:35:49",2003,DHS,2003,NG,NGIR4BFL.ZIP,Nigeria
Flat ASCII data (.dat),68585,Survey Datasets,223,NG2003DHS,Height and Weight Scores - WHO Child Growth Standards,"May, 04 2009 11:02:45",2003,DHS,2003,NG,NGHW4BFL.ZIP,Nigeria
Flat ASCII data (.dat),1670400,Survey Datasets,223,NG2003DHS,Couples' Recode,"August, 18 2004 13:20:40",2003,DHS,2003,NG,ngcr4afl.zip,Nigeria
