index,Definition
1,"Age-specific fertility rate for the three years preceding the survey for age group 10-14 expressed per 1,000 women"
2,"Age-specific fertility rate for the three years preceding the survey for age group 15-19 expressed per 1,000 women"
3,"Age-specific fertility rate for the three years preceding the survey for age group 20-24 expressed per 1,000 women"
4,"Age-specific fertility rate for the three years preceding the survey for age group 25-29 expressed per 1,000 women"
5,"Age-specific fertility rate for the three years preceding the survey for age group 30-34 expressed per 1,000 women"
6,"Age-specific fertility rate for the three years preceding the survey for age group 35-39 expressed per 1,000 women"
7,"Age-specific fertility rate for the three years preceding the survey for age group 40-44 expressed per 1,000 women"
8,"Age-specific fertility rate for the three years preceding the survey for age group 45-49 expressed per 1,000 women"
9,Total fertility rate for the three years preceding the survey for age group 15-49 expressed per woman
10,Total fertility rate for the three years preceding the survey for age group 15-44 expressed per woman
11,"General fertility rate for the three years preceding the survey expressed per 1,000 women age 15-44"
12,"Crude birth rate for the three years preceding the survey expressed per 1,000 population"
13,Percentage of women 15-49 currently pregnant
14,Number of women age 15-49
15,Number of women age 15-49 (unweighted)
16,Mean number of children ever born to women age 40-49 
17,Number of women age 40-49
18,Number of women age 40-49 (unweighted)
19,"Age-specific fertility rates for five-year periods preceding the survey for age group 10-14 per 1,000 women"
20,"Age-specific fertility rates for five-year periods preceding the survey for age group 15-19 per 1,000 women"
21,"Age-specific fertility rates for five-year periods preceding the survey for age group 20-24 per 1,000 women"
22,"Age-specific fertility rates for five-year periods preceding the survey for age group 25-29 per 1,000 women"
23,"Age-specific fertility rates for five-year periods preceding the survey for age group 30-34 per 1,000 women"
24,"Age-specific fertility rates for five-year periods preceding the survey for age group 35-39 per 1,000 women"
25,"Age-specific fertility rates for five-year periods preceding the survey for age group 40-44 per 1,000 women"
26,"Age-specific fertility rates for five-year periods preceding the survey for age group 45-49 per 1,000 women"
27,Percentage of women with no children ever born
28,Percentage of women with 1 child ever born
29,Percentage of women with 2 children ever born
30,Percentage of women with 3 children ever born
31,Percentage of women with 4 children ever born
32,Percentage of women with 5 children ever born
33,Percentage of women with 6 children ever born
34,Percentage of women with 7 children ever born
35,Percentage of women with 8 children ever born
36,Percentage of women with 9 children ever born
37,Percentage of women with 10+ children ever born
38,Percentage of women: Total
39,Number of women
40,Number of women (unweighted)
41,Mean number of children ever born for all women
42,Mean number of living children for all women
43,Percentage of currently married or in union women with no children ever born
44,Percentage of currently married or in union women with 1 child ever born
45,Percentage of currently married or in union women with 2 children ever born
46,Percentage of currently married or in union women with 3 children ever born
47,Percentage of currently married or in union women with 4 children ever born
48,Percentage of currently married or in union women with 5 children ever born
49,Percentage of currently married or in union women with 6 children ever born
50,Percentage of currently married or in union women with 7 children ever born
51,Percentage of currently married or in union women with 8 children ever born
52,Percentage of currently married or in union women with 9 children ever born
53,Percentage of currently married or in union women with 10+ children ever born
54,Percentage of currently married or in union women: Total
55,Number of currently married or in union women
56,Number of currently married or in union women (unweighted)
57,Mean number of children ever born for currently married or in union women
58,Mean number of living children for for currently married or in union women
59,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 7-17 months
60,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 18-23 months
61,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 24-35 months
62,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 36-47 months
63,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 48-59 months
64,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 60+ months
65,Percentage of non-first births in the five years preceding the survey: Total
66,Number of non-first births in the five years preceding the survey
67,Number of non-first births in the five years preceding the survey (unweighted)
68,Median duration of the preceding birth interval in months for non-first births in the five years preceding the survey
69,Percentage of births in the 2 years preceding the survey of birth order 1
70,Percentage of births in the 2 years preceding the survey of birth order 2
71,Percentage of births in the 2 years preceding the survey of birth order 3
72,Percentage of births in the 2 years preceding the survey of birth order 4
73,Percentage of births in the 2 years preceding the survey of birth order 5+
74,Percentage of births in the 2 years preceding the survey: Total
75,Number of births in the 2 years preceding the survey
76,Number of births in the 2 years preceding the survey (Unweighted)
77,Percentage of births whose mothers are postpartum amenorrheic
78,Percentage of births whose mothers are postpartum abstaining
79,Percentage of births whose mothers are postpartum insusceptible
80,Number of births
81,Number of births (unweighted)
82,Mean number of months of postpartum amenorrheic
83,Mean number of months of postpartum abstaining
84,Mean number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth)
85,Median number of months of postpartum amenorrheic
86,Median number of months of postpartum abstaining
87,Median number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth)
88,"Percentage of women age 30-49 menopausal, defined as women who are not pregnant and not postpartum amenorrheic whose last menstrual period occurred 6 or more months preceding the survey"
89,Number of women age 30-49
90,Number of women age 30-49 (unweighted)
91,Percentage of women who gave birth by age 15
92,Percentage of women who gave birth by age 18
93,Percentage of women who gave birth by age 20
94,Percentage of women who gave birth by age 22
95,Percentage of women who gave birth by age 25
96,Percentage of women who never gave birth
97,Number of women
98,Number of women (unweighted)
99,Median age at first birth for women age 20-24
100,Median age at first birth for women age 25-29
101,Median age at first birth for women age 30-34
102,Median age at first birth for women age 35-39
103,Median age at first birth for women age 40-44
104,Median age at first birth for women age 45-49
105,Median age at first birth for women age 20-49
106,Median age at first birth for women age 25-49
107,Percentage of teenage women who are mothers
108,Percentage of teenage women who are pregnant with their first child
109,Percentage of teenage women who have begun childbearing
110,Percentage of teenage women with 'don't know' or missing information on childbearing
111,Number of teenage women age 15-19
112,Number of teenage women age 15-19 (unweighted)
113,Percentage of currently married or in union women who want to have another child soon
114,Percentage of currently married or in union women who want to have another child later
115,Percentage of currently married or in union women who want another child but are unsure of the timing
116,Percentage of currently married or in union women who undecided if they want another child
117,Percentage of currently married or in union women who want no more children
118,Percentage of currently married or in union women who are sterilized
119,Percentage of currently married or in union women who declare that they are infecund
120,Percentage of currently married or in union women with missing information on desire for more children
121,Percentage of currently married/in union women: Total
